original_Tip_Name,Tip_Name,Order,Family,Genus,level0,level1,level2,level3,level4,level5,level6,level7
alligator_mississippiensis,OUTGROUP_Alligatoridae_Alligator_mississippiensis,OUTGROUP,Alligatoridae,Alligator,NA,NA,NA,NA,NA,NA,NA,NA
gavialis_gangeticus,OUTGROUP_Gavialidae_Gavialis_gangeticus,OUTGROUP,Gavialidae,Gavialis,NA,NA,NA,NA,NA,NA,NA,NA
Anomalopteryx_didiformis_GCA_006937325,DINORNITHIFORMES_Emeidae_Anomalopteryx_didiformis,DINORNITHIFORMES,Emeidae,Anomalopteryx,Palaeognathae,Notopalaeognathae,Dinocrypturi,NA,NA,NA,NA,NA
Struthio_camelus_APP042,STRUTHIONIFORMES_Struthionidae_Struthio_camelus,STRUTHIONIFORMES,Struthionidae,Struthio,Palaeognathae,NA,NA,NA,NA,NA,NA,NA
pterocnemia_pennata2,RHEIFORMES_Rheidae_Rhea_pennata,RHEIFORMES,Rheidae,Rhea,Palaeognathae,Notopalaeognathae,NA,NA,NA,NA,NA,NA
rhea_americana,RHEIFORMES_Rheidae_Rhea_americana,RHEIFORMES,Rheidae,Rhea,Palaeognathae,Notopalaeognathae,NA,NA,NA,NA,NA,NA
Apteryx_owenii_OUT0027,APTERYGIFORMES_Apterygidae_Apteryx_owenii,APTERYGIFORMES,Apterygidae,Apteryx,Palaeognathae,Notopalaeognathae,Novaeratitae,NA,NA,NA,NA,NA
Apteryx_haastii_OUT0026,APTERYGIFORMES_Apterygidae_Apteryx_haastii,APTERYGIFORMES,Apterygidae,Apteryx,Palaeognathae,Notopalaeognathae,Novaeratitae,NA,NA,NA,NA,NA
Apteryx_rowi_OUT0028,APTERYGIFORMES_Apterygidae_Apteryx_rowi,APTERYGIFORMES,Apterygidae,Apteryx,Palaeognathae,Notopalaeognathae,Novaeratitae,NA,NA,NA,NA,NA
Apteryx_mantelli_GCF_001039765,APTERYGIFORMES_Apterygidae_Apteryx_mantelli,APTERYGIFORMES,Apterygidae,Apteryx,Palaeognathae,Notopalaeognathae,Novaeratitae,NA,NA,NA,NA,NA
apteryx_australis,APTERYGIFORMES_Apterygidae_Apteryx_australis,APTERYGIFORMES,Apterygidae,Apteryx,Palaeognathae,Notopalaeognathae,Novaeratitae,NA,NA,NA,NA,NA
casuarius_casuarius,CASUARIIFORMES_Casuariidae_Casuarius_casuarius,CASUARIIFORMES,Casuariidae,Casuarius,Palaeognathae,Notopalaeognathae,Novaeratitae,NA,NA,NA,NA,NA
dromaius_novaehollandiae,CASUARIIFORMES_Casuariidae_Dromaius_novaehollandiae,CASUARIIFORMES,Casuariidae,Dromaius,Palaeognathae,Notopalaeognathae,Novaeratitae,NA,NA,NA,NA,NA
Tinamus_guttatus_APP044,TINAMIFORMES_Tinamidae_Tinamus_guttatus,TINAMIFORMES,Tinamidae,Tinamus,Palaeognathae,Notopalaeognathae,Dinocrypturi,NA,NA,NA,NA,NA
Nothocercus_julius_GCA_013398735,TINAMIFORMES_Tinamidae_Nothocercus_julius,TINAMIFORMES,Tinamidae,Nothocercus,Palaeognathae,Notopalaeognathae,Dinocrypturi,NA,NA,NA,NA,NA
nothocercus_nigrocapillus,TINAMIFORMES_Tinamidae_Nothocercus_nigrocapillus,TINAMIFORMES,Tinamidae,Nothocercus,Palaeognathae,Notopalaeognathae,Dinocrypturi,NA,NA,NA,NA,NA
Crypturellus_undulatus_B10KCrypturellusundulatus,TINAMIFORMES_Tinamidae_Crypturellus_undulatus,TINAMIFORMES,Tinamidae,Crypturellus,Palaeognathae,Notopalaeognathae,Dinocrypturi,NA,NA,NA,NA,NA
Crypturellus_cinnamomeus_OUT0029,TINAMIFORMES_Tinamidae_Crypturellus_cinnamomeus,TINAMIFORMES,Tinamidae,Crypturellus,Palaeognathae,Notopalaeognathae,Dinocrypturi,NA,NA,NA,NA,NA
crypturellus_soui,TINAMIFORMES_Tinamidae_Crypturellus_soui,TINAMIFORMES,Tinamidae,Crypturellus,Palaeognathae,Notopalaeognathae,Dinocrypturi,NA,NA,NA,NA,NA
Nothoprocta_ornata_B10KNothoproctaornata,TINAMIFORMES_Tinamidae_Nothoprocta_ornata,TINAMIFORMES,Tinamidae,Nothoprocta,Palaeognathae,Notopalaeognathae,Dinocrypturi,NA,NA,NA,NA,NA
