# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/02_G50_i0s50l50_parsB_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.02830188679245283	156.0	5512.0	0.9716981132075472	0.9716981132075472	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/11_F90_i50s90l90_parsC_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.12735849056603774	702.0	5512.0	0.8726415094339622	0.8726415094339622	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/12_F70_i50s90l70_parsDstart_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.06966618287373004	384.0	5512.0	0.93033381712627	0.93033381712627	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/17_F50_i25s90l50_parsC_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.08345428156748912	460.0	5512.0	0.9165457184325109	0.9165457184325109	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C12_MP_supertree_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.04616503089785533	254.0	5502.0	0.9555717407137655	0.9521044992743106	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C14_MP_supertree_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.043952052306574646	242.0	5506.0	0.9570909090909091	0.9550072568940493	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C18_MP_supertree_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.04426705370101597	244.0	5512.0	0.9557329462989841	0.9557329462989841	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D8_MP_supertree_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.040543019629425796	221.0	5451.0	0.9703153988868275	0.9488388969521045	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.04441601169804423	243.0	5471.0	0.9627992633517496	0.9484760522496372	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.06850808649827367	377.0	5503.0	0.9330178376410629	0.9299709724238027	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.06608569353667393	364.0	5508.0	0.934593023255814	0.9332365747460087	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.06245461147421932	344.0	5508.0	0.9382267441860465	0.9368650217706821	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.06286337209302326	346.0	5504.0	0.9385007278020379	0.9357764876632801	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/01_F70_i0s50l70_parsCstart_rooted.tre	2758	0.07040203747498636	387.0	5497.0	0.9321415541773076	0.9270682148040639	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
