tips,Tip_Name,Order,Family,Genus,level0,level1,level2,level3,level4,level5,level6,level7
abroscopus_albogularis_28164,PASSERIFORMES_Cettiidae_Abroscopus_albogularis,PASSERIFORMES,Cettiidae,Abroscopus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Aburria_aburri_LSUMZB27864,GALLIFORMES_Cracidae_Aburria_aburri,GALLIFORMES,Cracidae,Aburria,Galloanserae,x,x,x,x,x,x,x
Acanthagenys_rufogularis_ANWCB54357,PASSERIFORMES_Meliphagidae_Acanthagenys_rufogularis,PASSERIFORMES,Meliphagidae,Acanthagenys,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Acanthisitta_chloris_APP002,PASSERIFORMES_Acanthisittidae_Acanthisitta_chloris,PASSERIFORMES,Acanthisittidae,Acanthisitta,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
acanthiza_cinerea_18352,PASSERIFORMES_Acanthizidae_Acanthiza_cinerea,PASSERIFORMES,Acanthizidae,Acanthiza,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
acanthorhynchus_tenuirostris_10667,PASSERIFORMES_Meliphagidae_Acanthorhynchus_tenuirostris,PASSERIFORMES,Meliphagidae,Acanthorhynchus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Acanthornis_magna_ANWCB45993,PASSERIFORMES_Acanthizidae_Acanthornis_magna,PASSERIFORMES,Acanthizidae,Acanthornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Accipiter_nisus_GCA_004320145,ACCIPITRIFORMES_Accipitridae_Accipiter_nisus,ACCIPITRIFORMES,Accipitridae,Accipiter,Neoaves,Telluraves,Afroaves,x,x,x,x,x
Acridotheres_javanicus_GCA_002849675,PASSERIFORMES_Sturnidae_Acridotheres_javanicus,PASSERIFORMES,Sturnidae,Acridotheres,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Acrobatornis_fonsecai_L26329,PASSERIFORMES_Furnariidae_Acrobatornis_fonsecai,PASSERIFORMES,Furnariidae,Acrobatornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
acrocephalus_orientalis_28793,PASSERIFORMES_Acrocephalidae_Acrocephalus_orientalis,PASSERIFORMES,Acrocephalidae,Acrocephalus,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Acropternis_orthonyx_L30027,PASSERIFORMES_Rhinocryptidae_Acropternis_orthonyx,PASSERIFORMES,Rhinocryptidae,Acropternis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Acryllium_vulturinum_RTK534,GALLIFORMES_Numididae_Acryllium_vulturinum,GALLIFORMES,Numididae,Acryllium,Galloanserae,x,x,x,x,x,x,x
Actenoides_bougainvillei_AMNH640159,CORACIIFORMES_Alcedinidae_Actenoides_bougainvillei,CORACIIFORMES,Alcedinidae,Actenoides,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Actenoides_capucinus_AMNH299294,CORACIIFORMES_Alcedinidae_Actenoides_monachus,CORACIIFORMES,Alcedinidae,Actenoides,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Actenoides_concretus_KUNHM21931,CORACIIFORMES_Alcedinidae_Actenoides_concretus,CORACIIFORMES,Alcedinidae,Actenoides,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Actenoides_hombroni_KUNHM19202,CORACIIFORMES_Alcedinidae_Actenoides_hombroni,CORACIIFORMES,Alcedinidae,Actenoides,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Actenoides_lindsayi_KUNHM19371,CORACIIFORMES_Alcedinidae_Actenoides_lindsayi,CORACIIFORMES,Alcedinidae,Actenoides,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
Actenoides_princeps_AMNH299286,CORACIIFORMES_Alcedinidae_Actenoides_princeps,CORACIIFORMES,Alcedinidae,Actenoides,Neoaves,Telluraves,Afroaves,Coraciimorphae,Cavitaves,Eucavitaves,Picocoraciades,Picodynastornithes
aegithalos_concinnus_28044,PASSERIFORMES_Aegithalidae_Aegithalos_concinnus,PASSERIFORMES,Aegithalidae,Aegithalos,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
aegithina_lafresnayei_23213,PASSERIFORMES_Aegithinidae_Aegithina_lafresnayei,PASSERIFORMES,Aegithinidae,Aegithina,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Aegolius_funereus_28868,STRIGIFORMES_Strigidae_Aegolius_funereus,STRIGIFORMES,Strigidae,Aegolius,Neoaves,Telluraves,Afroaves,x,x,x,x,x
aegotheles_cristatus,AEGOTHELIFORMES_Aegothelidae_Aegotheles_cristatus,AEGOTHELIFORMES,Aegothelidae,Aegotheles,Neoaves,Strisores,Vanescaves,Letornithes,Daedalornithes,x,x,x
aegotheles_insignis,AEGOTHELIFORMES_Aegothelidae_Aegotheles_insignis,AEGOTHELIFORMES,Aegothelidae,Aegotheles,Neoaves,Strisores,Vanescaves,Letornithes,Daedalornithes,x,x,x
Aerodramus_vanikorensis_USNM_608672,APODIFORMES_Apodidae_Aerodramus_vanikorensis,APODIFORMES,Apodidae,Aerodramus,Neoaves,Strisores,Vanescaves,Letornithes,Daedalornithes,x,x,x
Aethopyga_pulcherrima_KU28306,PASSERIFORMES_Nectariniidae_Aethopyga_pulcherrima,PASSERIFORMES,Nectariniidae,Aethopyga,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Afropavo_congensis_RTK382,GALLIFORMES_Phasianidae_Afropavo_congensis,GALLIFORMES,Phasianidae,Afropavo,Galloanserae,x,x,x,x,x,x,x
Agapornis_canus_FMNH352792,PSITTACIFORMES_Psittaculidae_Agapornis_canus,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agapornis_fischeri_KU1607,PSITTACIFORMES_Psittaculidae_Agapornis_fischeri,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agapornis_lilianae_AMNH788792,PSITTACIFORMES_Psittaculidae_Agapornis_lilianae,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agapornis_nigrigenis_AMNH188872,PSITTACIFORMES_Psittaculidae_Agapornis_nigrigenis,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agapornis_personatus_USNMHB387,PSITTACIFORMES_Psittaculidae_Agapornis_personatus,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agapornis_pullarius_AMNH775687,PSITTACIFORMES_Psittaculidae_Agapornis_pullarius,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agapornis_roseicollis_KU1612,PSITTACIFORMES_Psittaculidae_Agapornis_roseicollis,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agapornis_swindernianus_AMNH789126,PSITTACIFORMES_Psittaculidae_Agapornis_swindernianus,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
Agapornis_taranta_USNM569415,PSITTACIFORMES_Psittaculidae_Agapornis_taranta,PSITTACIFORMES,Psittaculidae,Agapornis,Neoaves,Telluraves,Australaves,Eufalconimorphae,Psittacopasseres,x,x,x
