reference,source,nRF
full_raxml,full_IQTREE,0.035195936
indv_0_sites_50_loci_70,full_IQTREE,0.051886792
indv_0_sites_90_loci_50,full_IQTREE,0.068577649
indv_25_sites_90_loci_70,full_IQTREE,0.132801161
indv_50_sites_50_loci_50,full_IQTREE,0.067489115
indv_50_sites_50_loci_70,full_IQTREE,0.063497823
indv_50_sites_90_loci_90,full_IQTREE,0.131712627
run1_Jetz_BigBird,full_IQTREE,0.160890186
run2_Jetz_BigBird_Familybackbone,full_IQTREE,0.092033467
run3_Jetz_BigBird_Genusbackbone,full_IQTREE,0.090214623
run4_optimal_NoBackbone,full_IQTREE,0.08964253
run5_bootstrap_NoBackbone,full_IQTREE,0.087899963
run6_optimal_FamilyBackbone,full_IQTREE,0.068573524
run7_optimal_GenusBackbone,full_IQTREE,0.052823981
run8_FamBackbone2v1,full_IQTREE,0.068231842
run9_GenusBackbone2v1,full_IQTREE,0.051156017
indv_0_sites_50_loci_70,full_raxml,0.034833091
indv_0_sites_90_loci_50,full_raxml,0.04862119
indv_25_sites_90_loci_70,full_raxml,0.125544267
indv_50_sites_50_loci_50,full_raxml,0.051161103
indv_50_sites_50_loci_70,full_raxml,0.04862119
indv_50_sites_90_loci_90,full_raxml,0.124818578
run1_Jetz_BigBird,full_raxml,0.14447282
run2_Jetz_BigBird_Familybackbone,full_raxml,0.071298654
run3_Jetz_BigBird_Genusbackbone,full_raxml,0.069843579
run4_optimal_NoBackbone,full_raxml,0.068744271
run5_bootstrap_NoBackbone,full_raxml,0.067304156
run6_optimal_FamilyBackbone,full_raxml,0.047671434
run7_optimal_GenusBackbone,full_raxml,0.031621276
run8_FamBackbone2v1,full_raxml,0.047322084
run9_GenusBackbone2v1,full_raxml,0.029674131
indv_0_sites_90_loci_50,indv_0_sites_50_loci_70,0.056966618
indv_25_sites_90_loci_70,indv_0_sites_50_loci_70,0.124455733
indv_50_sites_50_loci_50,indv_0_sites_50_loci_70,0.046444122
indv_50_sites_50_loci_70,indv_0_sites_50_loci_70,0.051161103
indv_50_sites_90_loci_90,indv_0_sites_50_loci_70,0.125181422
run1_Jetz_BigBird,indv_0_sites_50_loci_70,0.151404597
run2_Jetz_BigBird_Familybackbone,indv_0_sites_50_loci_70,0.081847945
run3_Jetz_BigBird_Genusbackbone,indv_0_sites_50_loci_70,0.079301564
run4_optimal_NoBackbone,indv_0_sites_50_loci_70,0.086342805
run5_bootstrap_NoBackbone,indv_0_sites_50_loci_70,0.08422214
run6_optimal_FamilyBackbone,indv_0_sites_50_loci_70,0.065639897
run7_optimal_GenusBackbone,indv_0_sites_50_loci_70,0.049533906
run8_FamBackbone2v1,indv_0_sites_50_loci_70,0.065297139
run9_GenusBackbone2v1,indv_0_sites_50_loci_70,0.047879119
indv_25_sites_90_loci_70,indv_0_sites_90_loci_50,0.123004354
indv_50_sites_50_loci_50,indv_0_sites_90_loci_50,0.067851959
indv_50_sites_50_loci_70,indv_0_sites_90_loci_50,0.072931785
indv_50_sites_90_loci_90,indv_0_sites_90_loci_50,0.123367199
run1_Jetz_BigBird,indv_0_sites_90_loci_50,0.155782561
run2_Jetz_BigBird_Familybackbone,indv_0_sites_90_loci_50,0.089123318
run3_Jetz_BigBird_Genusbackbone,indv_0_sites_90_loci_50,0.087304474
run4_optimal_NoBackbone,indv_0_sites_90_loci_50,0.102474794
run5_bootstrap_NoBackbone,indv_0_sites_90_loci_50,0.099668996
run6_optimal_FamilyBackbone,indv_0_sites_90_loci_50,0.078841217
run7_optimal_GenusBackbone,indv_0_sites_90_loci_50,0.064887589
run8_FamBackbone2v1,indv_0_sites_90_loci_50,0.078503302
run9_GenusBackbone2v1,indv_0_sites_90_loci_50,0.062807209
indv_50_sites_50_loci_50,indv_25_sites_90_loci_70,0.124092888
indv_50_sites_50_loci_70,indv_25_sites_90_loci_70,0.120101597
indv_50_sites_90_loci_90,indv_25_sites_90_loci_70,0.108853411
run1_Jetz_BigBird,indv_25_sites_90_loci_70,0.214155418
run2_Jetz_BigBird_Familybackbone,indv_25_sites_90_loci_70,0.149145144
run3_Jetz_BigBird_Genusbackbone,indv_25_sites_90_loci_70,0.147690069
run4_optimal_NoBackbone,indv_25_sites_90_loci_70,0.168469294
run5_bootstrap_NoBackbone,indv_25_sites_90_loci_70,0.164766458
run6_optimal_FamilyBackbone,indv_25_sites_90_loci_70,0.146314631
run7_optimal_GenusBackbone,indv_25_sites_90_loci_70,0.132151343
run8_FamBackbone2v1,indv_25_sites_90_loci_70,0.146001467
run9_GenusBackbone2v1,indv_25_sites_90_loci_70,0.130165665
indv_50_sites_50_loci_70,indv_50_sites_50_loci_50,0.045355588
indv_50_sites_90_loci_90,indv_50_sites_50_loci_50,0.127358491
run1_Jetz_BigBird,indv_50_sites_50_loci_50,0.166727472
run2_Jetz_BigBird_Familybackbone,indv_50_sites_50_loci_50,0.09639869
run3_Jetz_BigBird_Genusbackbone,indv_50_sites_50_loci_50,0.094216079
run4_optimal_NoBackbone,indv_50_sites_50_loci_50,0.102474794
run5_bootstrap_NoBackbone,indv_50_sites_50_loci_50,0.099301214
run6_optimal_FamilyBackbone,indv_50_sites_50_loci_50,0.081408141
run7_optimal_GenusBackbone,indv_50_sites_50_loci_50,0.067080972
run8_FamBackbone2v1,indv_50_sites_50_loci_50,0.081071167
run9_GenusBackbone2v1,indv_50_sites_50_loci_50,0.064627708
indv_50_sites_90_loci_90,indv_50_sites_50_loci_70,0.119375907
run1_Jetz_BigBird,indv_50_sites_50_loci_70,0.166727472
run2_Jetz_BigBird_Familybackbone,indv_50_sites_50_loci_70,0.096034922
run3_Jetz_BigBird_Genusbackbone,indv_50_sites_50_loci_70,0.094579847
run4_optimal_NoBackbone,indv_50_sites_50_loci_70,0.106507791
run5_bootstrap_NoBackbone,indv_50_sites_50_loci_70,0.104817948
run6_optimal_FamilyBackbone,indv_50_sites_50_loci_70,0.085441878
run7_optimal_GenusBackbone,indv_50_sites_50_loci_70,0.069274356
run8_FamBackbone2v1,indv_50_sites_50_loci_70,0.085106383
run9_GenusBackbone2v1,indv_50_sites_50_loci_70,0.067176406
run1_Jetz_BigBird,indv_50_sites_90_loci_90,0.220722364
run2_Jetz_BigBird_Familybackbone,indv_50_sites_90_loci_90,0.156784285
run3_Jetz_BigBird_Genusbackbone,indv_50_sites_90_loci_90,0.155329211
run4_optimal_NoBackbone,indv_50_sites_90_loci_90,0.167369386
run5_bootstrap_NoBackbone,indv_50_sites_90_loci_90,0.166237587
run6_optimal_FamilyBackbone,indv_50_sites_90_loci_90,0.146314631
run7_optimal_GenusBackbone,indv_50_sites_90_loci_90,0.13653811
run8_FamBackbone2v1,indv_50_sites_90_loci_90,0.146001467
run9_GenusBackbone2v1,indv_50_sites_90_loci_90,0.135263062
run2_Jetz_BigBird_Familybackbone,run1_Jetz_BigBird,0.083910981
run3_Jetz_BigBird_Genusbackbone,run1_Jetz_BigBird,0.080992339
run4_optimal_NoBackbone,run1_Jetz_BigBird,0.19078341
run5_bootstrap_NoBackbone,run1_Jetz_BigBird,0.183801775
run6_optimal_FamilyBackbone,run1_Jetz_BigBird,0.170353982
run7_optimal_GenusBackbone,run1_Jetz_BigBird,0.157875391
run8_FamBackbone2v1,run1_Jetz_BigBird,0.170047953
run9_GenusBackbone2v1,run1_Jetz_BigBird,0.154676917
