clade,tree,presence
Palaeognathae,Full_RAxML,TRUE
Notopalaeognathae,Full_RAxML,TRUE
Novaeratitae,Full_RAxML,TRUE
Dinocrypturi,Full_RAxML,TRUE
Galloanserae,Full_RAxML,TRUE
Neoaves,Full_RAxML,TRUE
Columbimorphae,Full_RAxML,TRUE
Pteroclimesites,Full_RAxML,TRUE
Otidimorphae,Full_RAxML,TRUE
Musophagotides,Full_RAxML,TRUE
Mirandornithes,Full_RAxML,TRUE
Strisores,Full_RAxML,TRUE
Vanescaves,Full_RAxML,TRUE
Letornithes,Full_RAxML,TRUE
Daedalornithes,Full_RAxML,TRUE
Sedentaves,Full_RAxML,TRUE
Phaethoquornithes,Full_RAxML,TRUE
Phaethontimorphae,Full_RAxML,TRUE
Aequornithes,Full_RAxML,TRUE
Feraequornithes,Full_RAxML,TRUE
Procellariimorphae,Full_RAxML,TRUE
Pelecanimorphae,Full_RAxML,TRUE
Pelecanes,Full_RAxML,TRUE
Telluraves,Full_RAxML,TRUE
Afroaves,Full_RAxML,TRUE
Coraciimorphae,Full_RAxML,TRUE
Cavitaves,Full_RAxML,TRUE
Eucavitaves,Full_RAxML,TRUE
Picocoraciades,Full_RAxML,TRUE
Picodynastornithes,Full_RAxML,TRUE
Australaves,Full_RAxML,TRUE
Eufalconimorphae,Full_RAxML,TRUE
Psittacopasseres,Full_RAxML,TRUE
Palaeognathae,Full_IQTREE,TRUE
Notopalaeognathae,Full_IQTREE,TRUE
Novaeratitae,Full_IQTREE,TRUE
Dinocrypturi,Full_IQTREE,TRUE
Galloanserae,Full_IQTREE,TRUE
Neoaves,Full_IQTREE,TRUE
Columbimorphae,Full_IQTREE,FALSE
Pteroclimesites,Full_IQTREE,TRUE
Otidimorphae,Full_IQTREE,FALSE
Musophagotides,Full_IQTREE,FALSE
Mirandornithes,Full_IQTREE,TRUE
Strisores,Full_IQTREE,TRUE
Vanescaves,Full_IQTREE,FALSE
Letornithes,Full_IQTREE,FALSE
Daedalornithes,Full_IQTREE,TRUE
Sedentaves,Full_IQTREE,FALSE
Phaethoquornithes,Full_IQTREE,FALSE
Phaethontimorphae,Full_IQTREE,TRUE
Aequornithes,Full_IQTREE,TRUE
Feraequornithes,Full_IQTREE,TRUE
Procellariimorphae,Full_IQTREE,TRUE
Pelecanimorphae,Full_IQTREE,TRUE
Pelecanes,Full_IQTREE,TRUE
Telluraves,Full_IQTREE,TRUE
Afroaves,Full_IQTREE,TRUE
Coraciimorphae,Full_IQTREE,TRUE
Cavitaves,Full_IQTREE,FALSE
Eucavitaves,Full_IQTREE,FALSE
Picocoraciades,Full_IQTREE,TRUE
Picodynastornithes,Full_IQTREE,TRUE
Australaves,Full_IQTREE,TRUE
Eufalconimorphae,Full_IQTREE,FALSE
Psittacopasseres,Full_IQTREE,TRUE
Palaeognathae,indv_0_sites_50_loci_70,TRUE
Notopalaeognathae,indv_0_sites_50_loci_70,TRUE
Novaeratitae,indv_0_sites_50_loci_70,TRUE
Dinocrypturi,indv_0_sites_50_loci_70,TRUE
Galloanserae,indv_0_sites_50_loci_70,TRUE
Neoaves,indv_0_sites_50_loci_70,TRUE
Columbimorphae,indv_0_sites_50_loci_70,TRUE
Pteroclimesites,indv_0_sites_50_loci_70,TRUE
Otidimorphae,indv_0_sites_50_loci_70,FALSE
Musophagotides,indv_0_sites_50_loci_70,TRUE
Mirandornithes,indv_0_sites_50_loci_70,TRUE
Strisores,indv_0_sites_50_loci_70,TRUE
Vanescaves,indv_0_sites_50_loci_70,TRUE
Letornithes,indv_0_sites_50_loci_70,TRUE
Daedalornithes,indv_0_sites_50_loci_70,TRUE
Sedentaves,indv_0_sites_50_loci_70,FALSE
Phaethoquornithes,indv_0_sites_50_loci_70,FALSE
Phaethontimorphae,indv_0_sites_50_loci_70,TRUE
Aequornithes,indv_0_sites_50_loci_70,TRUE
Feraequornithes,indv_0_sites_50_loci_70,TRUE
Procellariimorphae,indv_0_sites_50_loci_70,TRUE
Pelecanimorphae,indv_0_sites_50_loci_70,TRUE
