Tree,clade,number
1_OptimalTrees,order,0
2_BootstrapTrees,order,0
3_OptimalTrees+FamilyBackbone4v1,order,0
4_OptimalTrees+FamBackbone2v1,order,0
5_OptimalTrees+GenusBackbone4v1,order,0
6_OptimalTrees+GenusBackbone2v1,order,0
7_full_RAxML,order,0
8_full_IQ-TREE,order,0
9_Filter: indv_0_sites_50_loci_70,order,0
10_Filter: indv_25_sites_90_loci_70,order,0
11_Filter: indv_50_sites_90_loci_90,order,0
12_Filter: indv_50_sites_50_loci_50,order,0
13_Filter: indv_50_sites_50_loci_70,order,0
14_Filter: indv_0_sites_90_loci_50,order,1
15_PublishedTrees+Jetz+BigBird+Familybackbone,order,0
16_PublishedTrees+Jetz+BigBird+Genusbackbone,order,1
17_PublishedTrees+Jetz+BigBird,order,7
1_OptimalTrees,family,8
2_BootstrapTrees,family,11
3_OptimalTrees+FamilyBackbone4v1,family,2
4_OptimalTrees+FamBackbone2v1,family,2
5_OptimalTrees+GenusBackbone4v1,family,2
6_OptimalTrees+GenusBackbone2v1,family,2
7_full_RAxML,family,2
8_full_IQ-TREE,family,2
9_Filter: indv_0_sites_50_loci_70,family,2
10_Filter: indv_25_sites_90_loci_70,family,2
11_Filter: indv_50_sites_90_loci_90,family,2
12_Filter: indv_50_sites_50_loci_50,family,2
13_Filter: indv_50_sites_50_loci_70,family,3
14_Filter: indv_0_sites_90_loci_50,family,1
15_PublishedTrees+Jetz+BigBird+Familybackbone,family,3
16_PublishedTrees+Jetz+BigBird+Genusbackbone,family,4
17_PublishedTrees+Jetz+BigBird,family,16
1_OptimalTrees,Agenus,60
2_BootstrapTrees,Agenus,55
3_OptimalTrees+FamilyBackbone4v1,Agenus,52
4_OptimalTrees+FamBackbone2v1,Agenus,52
5_OptimalTrees+GenusBackbone4v1,Agenus,38
6_OptimalTrees+GenusBackbone2v1,Agenus,38
7_full_RAxML,Agenus,38
8_full_IQ-TREE,Agenus,38
9_Filter: indv_0_sites_50_loci_70,Agenus,39
10_Filter: indv_25_sites_90_loci_70,Agenus,46
11_Filter: indv_50_sites_90_loci_90,Agenus,41
12_Filter: indv_50_sites_50_loci_50,Agenus,41
13_Filter: indv_50_sites_50_loci_70,Agenus,42
14_Filter: indv_0_sites_90_loci_50,Agenus,37
15_PublishedTrees+Jetz+BigBird+Familybackbone,Agenus,36
16_PublishedTrees+Jetz+BigBird+Genusbackbone,Agenus,34
17_PublishedTrees+Jetz+BigBird,Agenus,48
