label,taxon,superorder,order,family,genus,note
Accipiter,ACCIPITRIFORMES_Accipitridae_Accipiter_nisus,Afroaves,ACCIPITRIFORMES,Accipitridae,Accipiter,monotypic
Aquila,ACCIPITRIFORMES_Accipitridae_Aquila_chrysaetos,Afroaves,ACCIPITRIFORMES,Accipitridae,Aquila,monotypic
Buteo,ACCIPITRIFORMES_Accipitridae_Buteo_jamaicensis,Afroaves,ACCIPITRIFORMES,Accipitridae,Buteo,mono
Elanoides,ACCIPITRIFORMES_Accipitridae_Elanoides_forficatus,Afroaves,ACCIPITRIFORMES,Accipitridae,Elanoides,monotypic
Gampsonyx,ACCIPITRIFORMES_Accipitridae_Gampsonyx_swainsonii,Afroaves,ACCIPITRIFORMES,Accipitridae,Gampsonyx,monotypic
Haliaeetus,ACCIPITRIFORMES_Accipitridae_Haliaeetus_leucocephalus,Afroaves,ACCIPITRIFORMES,Accipitridae,Haliaeetus,mono
Nisaetus,ACCIPITRIFORMES_Accipitridae_Nisaetus_nipalensis,Afroaves,ACCIPITRIFORMES,Accipitridae,Nisaetus,monotypic
Cathartes,ACCIPITRIFORMES_Cathartidae_Cathartes_aura,Afroaves,ACCIPITRIFORMES,Cathartidae,Cathartes,monotypic
Sarcoramphus,ACCIPITRIFORMES_Cathartidae_Sarcoramphus_papa,Afroaves,ACCIPITRIFORMES,Cathartidae,Sarcoramphus,monotypic
Pandion,ACCIPITRIFORMES_Pandionidae_Pandion_haliaetus,Afroaves,ACCIPITRIFORMES,Pandionidae,Pandion,monotypic
Sagittarius,ACCIPITRIFORMES_Sagittariidae_Sagittarius_serpentarius,Afroaves,ACCIPITRIFORMES,Sagittariidae,Sagittarius,monotypic
Aegotheles,AEGOTHELIFORMES_Aegothelidae_Aegotheles_cristatus,Strisores,AEGOTHELIFORMES,Aegothelidae,Aegotheles,mono
Anas,ANSERIFORMES_Anatidae_Anas_platyrhynchos,Galloanserae,ANSERIFORMES,Anatidae,Anas,mono
Anser,ANSERIFORMES_Anatidae_Anser_brachyrhynchus,Galloanserae,ANSERIFORMES,Anatidae,Anser,mono
Aythya,ANSERIFORMES_Anatidae_Aythya_fuligula,Galloanserae,ANSERIFORMES,Anatidae,Aythya,monotypic
Biziura,ANSERIFORMES_Anatidae_Biziura_lobata,Galloanserae,ANSERIFORMES,Anatidae,Biziura,monotypic
Branta,ANSERIFORMES_Anatidae_Branta_canadensis,Galloanserae,ANSERIFORMES,Anatidae,Branta,monotypic
Cairina,ANSERIFORMES_Anatidae_Cairina_moschata,Galloanserae,ANSERIFORMES,Anatidae,Cairina,monotypic
Cygnus,ANSERIFORMES_Anatidae_Cygnus_atratus,Galloanserae,ANSERIFORMES,Anatidae,Cygnus,mono
Heteronetta,ANSERIFORMES_Anatidae_Heteronetta_atricapilla,Galloanserae,ANSERIFORMES,Anatidae,Heteronetta,monotypic
Malacorhynchus,ANSERIFORMES_Anatidae_Malacorhynchus_membranaceus,Galloanserae,ANSERIFORMES,Anatidae,Malacorhynchus,monotypic
Nettapus,ANSERIFORMES_Anatidae_Nettapus_auritus,Galloanserae,ANSERIFORMES,Anatidae,Nettapus,monotypic
Oxyura,ANSERIFORMES_Anatidae_Oxyura_jamaicensis,Galloanserae,ANSERIFORMES,Anatidae,Oxyura,monotypic
Stictonetta,ANSERIFORMES_Anatidae_Stictonetta_naevosa,Galloanserae,ANSERIFORMES,Anatidae,Stictonetta,monotypic
Chauna,ANSERIFORMES_Anhimidae_Chauna_torquata,Galloanserae,ANSERIFORMES,Anhimidae,Chauna,monotypic
Anseranas,ANSERIFORMES_Anseranatidae_Anseranas_semipalmata,Galloanserae,ANSERIFORMES,Anseranatidae,Anseranas,monotypic
Aerodramus,APODIFORMES_Apodidae_Aerodramus_vanikorensis,Strisores,APODIFORMES,Apodidae,Aerodramus,monotypic
Chaetura,APODIFORMES_Apodidae_Chaetura_pelagica,Strisores,APODIFORMES,Apodidae,Chaetura,monotypic
Streptoprocne,APODIFORMES_Apodidae_Streptoprocne_zonaris,Strisores,APODIFORMES,Apodidae,Streptoprocne,monotypic
Hemiprocne,APODIFORMES_Hemiprocnidae_Hemiprocne_mystacea,Strisores,APODIFORMES,Hemiprocnidae,Hemiprocne,monotypic
Calypte,APODIFORMES_Trochilidae_Calypte_anna,Strisores,APODIFORMES,Trochilidae,Calypte,monotypic
Colibri,APODIFORMES_Trochilidae_Colibri_coruscans,Strisores,APODIFORMES,Trochilidae,Colibri,monotypic
Florisuga,APODIFORMES_Trochilidae_Florisuga_fusca,Strisores,APODIFORMES,Trochilidae,Florisuga,monotypic
Topaza,APODIFORMES_Trochilidae_Topaza_pella,Strisores,APODIFORMES,Trochilidae,Topaza,mono
Apteryx,APTERYGIFORMES_Apterygidae_Apteryx_australis,Palaeognathae,APTERYGIFORMES,Apterygidae,Apteryx,mono
Berenicornis,BUCEROTIFORMES_Bucerotidae_Berenicornis_comatus,Afroaves,BUCEROTIFORMES,Bucerotidae,Berenicornis,monotypic
Buceros,BUCEROTIFORMES_Bucerotidae_Buceros_rhinoceros,Afroaves,BUCEROTIFORMES,Bucerotidae,Buceros,monotypic
Bycanistes,BUCEROTIFORMES_Bucerotidae_Bycanistes_cylindricus,Afroaves,BUCEROTIFORMES,Bucerotidae,Bycanistes,monotypic
Lophoceros,BUCEROTIFORMES_Bucerotidae_Lophoceros_camurus,Afroaves,BUCEROTIFORMES,Bucerotidae,Lophoceros,monotypic
Bucorvus,BUCEROTIFORMES_Bucorvidae_Bucorvus_abyssinicus,Afroaves,BUCEROTIFORMES,Bucorvidae,Bucorvus,monotypic
Phoeniculus,BUCEROTIFORMES_Phoeniculidae_Phoeniculus_purpureus,Afroaves,BUCEROTIFORMES,Phoeniculidae,Phoeniculus,monotypic
Rhinopomastus,BUCEROTIFORMES_Phoeniculidae_Rhinopomastus_cyanomelas,Afroaves,BUCEROTIFORMES,Phoeniculidae,Rhinopomastus,monotypic
Upupa,BUCEROTIFORMES_Upupidae_Upupa_epops,Afroaves,BUCEROTIFORMES,Upupidae,Upupa,monotypic
Antrostomus,CAPRIMULGIFORMES_Caprimulgidae_Antrostomus_carolinensis,Strisores,CAPRIMULGIFORMES,Caprimulgidae,Antrostomus,monotypic
Eurostopodus,CAPRIMULGIFORMES_Caprimulgidae_Eurostopodus_mystacalis,Strisores,CAPRIMULGIFORMES,Caprimulgidae,Eurostopodus,monotypic
Lurocalis,CAPRIMULGIFORMES_Caprimulgidae_Lurocalis_rufiventris,Strisores,CAPRIMULGIFORMES,Caprimulgidae,Lurocalis,monotypic
Lyncornis,CAPRIMULGIFORMES_Caprimulgidae_Lyncornis_macrotis,Strisores,CAPRIMULGIFORMES,Caprimulgidae,Lyncornis,monotypic
Systellura,CAPRIMULGIFORMES_Caprimulgidae_Systellura_longirostris,Strisores,CAPRIMULGIFORMES,Caprimulgidae,Systellura,monotypic
Cariama,CARIAMIFORMES_Cariamidae_Cariama_cristata,Australaves,CARIAMIFORMES,Cariamidae,Cariama,monotypic
Chunga,CARIAMIFORMES_Cariamidae_Chunga_burmeisteri,Australaves,CARIAMIFORMES,Cariamidae,Chunga,monotypic
Casuarius,CASUARIIFORMES_Casuariidae_Casuarius_casuarius,Palaeognathae,CASUARIIFORMES,Casuariidae,Casuarius,monotypic
Dromaius,CASUARIIFORMES_Casuariidae_Dromaius_novaehollandiae,Palaeognathae,CASUARIIFORMES,Casuariidae,Dromaius,monotypic
Alca,CHARADRIIFORMES_Alcidae_Alca_torda,CHARADRIIFORMES,CHARADRIIFORMES,Alcidae,Alca,monotypic
Fratercula,CHARADRIIFORMES_Alcidae_Fratercula_cirrhata,CHARADRIIFORMES,CHARADRIIFORMES,Alcidae,Fratercula,monotypic
Uria,CHARADRIIFORMES_Alcidae_Uria_aalge,CHARADRIIFORMES,CHARADRIIFORMES,Alcidae,Uria,mono
Burhinus,CHARADRIIFORMES_Burhinidae_Burhinus_bistriatus,CHARADRIIFORMES,CHARADRIIFORMES,Burhinidae,Burhinus,mono
Charadrius1,CHARADRIIFORMES_Charadriidae_Charadrius_alexandrinus,CHARADRIIFORMES,CHARADRIIFORMES,Charadriidae,Charadrius,non-mono
Charadrius2,CHARADRIIFORMES_Charadriidae_Charadrius_vociferus,CHARADRIIFORMES,CHARADRIIFORMES,Charadriidae,Charadrius,non-mono
Phegornis,CHARADRIIFORMES_Charadriidae_Phegornis_mitchellii,CHARADRIIFORMES,CHARADRIIFORMES,Charadriidae,Phegornis,monotypic
Chionis,CHARADRIIFORMES_Chionidae_Chionis_albus,CHARADRIIFORMES,CHARADRIIFORMES,Chionidae,Chionis,monotypic
Dromas,CHARADRIIFORMES_Dromadidae_Dromas_ardeola,CHARADRIIFORMES,CHARADRIIFORMES,Dromadidae,Dromas,monotypic
Glareola,CHARADRIIFORMES_Glareolidae_Glareola_cinerea,CHARADRIIFORMES,CHARADRIIFORMES,Glareolidae,Glareola,monotypic
Haematopus,CHARADRIIFORMES_Haematopodidae_Haematopus_palliatus,CHARADRIIFORMES,CHARADRIIFORMES,Haematopodidae,Haematopus,monotypic
Ibidorhyncha,CHARADRIIFORMES_Ibidorhynchidae_Ibidorhyncha_struthersii,CHARADRIIFORMES,CHARADRIIFORMES,Ibidorhynchidae,Ibidorhyncha,monotypic
Jacana,CHARADRIIFORMES_Jacanidae_Jacana_jacana,CHARADRIIFORMES,CHARADRIIFORMES,Jacanidae,Jacana,monotypic
Larus,CHARADRIIFORMES_Laridae_Larus_argentatus,CHARADRIIFORMES,CHARADRIIFORMES,Laridae,Larus,monotypic
Sterna,CHARADRIIFORMES_Laridae_Sterna_hirundo,CHARADRIIFORMES,CHARADRIIFORMES,Laridae,Sterna,monotypic
Pedionomus,CHARADRIIFORMES_Pedionomidae_Pedionomus_torquatus,CHARADRIIFORMES,CHARADRIIFORMES,Pedionomidae,Pedionomus,monotypic
Pluvianus,CHARADRIIFORMES_Pluvianidae_Pluvianus_aegyptius,CHARADRIIFORMES,CHARADRIIFORMES,Pluvianidae,Pluvianus,monotypic
Himantopus,CHARADRIIFORMES_Recurvirostridae_Himantopus_leucocephalus,CHARADRIIFORMES,CHARADRIIFORMES,Recurvirostridae,Himantopus,monotypic
Recurvirostra,CHARADRIIFORMES_Recurvirostridae_Recurvirostra_americana,CHARADRIIFORMES,CHARADRIIFORMES,Recurvirostridae,Recurvirostra,monotypic
Rostratula,CHARADRIIFORMES_Rostratulidae_Rostratula_benghalensis,CHARADRIIFORMES,CHARADRIIFORMES,Rostratulidae,Rostratula,monotypic
Arenaria,CHARADRIIFORMES_Scolopacidae_Arenaria_interpres,CHARADRIIFORMES,CHARADRIIFORMES,Scolopacidae,Arenaria,monotypic
Calidris,CHARADRIIFORMES_Scolopacidae_Calidris_pugnax,CHARADRIIFORMES,CHARADRIIFORMES,Scolopacidae,Calidris,mono
Limosa,CHARADRIIFORMES_Scolopacidae_Limosa_lapponica,CHARADRIIFORMES,CHARADRIIFORMES,Scolopacidae,Limosa,monotypic
Scolopax,CHARADRIIFORMES_Scolopacidae_Scolopax_mira,CHARADRIIFORMES,CHARADRIIFORMES,Scolopacidae,Scolopax,monotypic
Stercorarius,CHARADRIIFORMES_Stercorariidae_Stercorarius_pomarinus,CHARADRIIFORMES,CHARADRIIFORMES,Stercorariidae,Stercorarius,monotypic
Thinocorus,CHARADRIIFORMES_Thinocoridae_Thinocorus_orbignyianus,CHARADRIIFORMES,CHARADRIIFORMES,Thinocoridae,Thinocorus,monotypic
Turnix,CHARADRIIFORMES_Turnicidae_Turnix_sylvaticus,CHARADRIIFORMES,CHARADRIIFORMES,Turnicidae,Turnix,monotypic
Ciconia,CICONIIFORMES_Ciconiidae_Ciconia_boyciana,Phaethoquornithes,CICONIIFORMES,Ciconiidae,Ciconia,mono
Mycteria,CICONIIFORMES_Ciconiidae_Mycteria_americana,Phaethoquornithes,CICONIIFORMES,Ciconiidae,Mycteria,monotypic
Colius,COLIIFORMES_Coliidae_Colius_colius,Afroaves,COLIIFORMES,Coliidae,Colius,mono
Urocolius,COLIIFORMES_Coliidae_Urocolius_indicus,Afroaves,COLIIFORMES,Coliidae,Urocolius,monotypic
Columba,COLUMBIFORMES_Columbidae_Columba_janthina,Columbimorphae,COLUMBIFORMES,Columbidae,Columba,mono
Columbina,COLUMBIFORMES_Columbidae_Columbina_passerina,Columbimorphae,COLUMBIFORMES,Columbidae,Columbina,monotypic
Geotrygon,COLUMBIFORMES_Columbidae_Geotrygon_montana,Columbimorphae,COLUMBIFORMES,Columbidae,Geotrygon,monotypic
Otidiphaps,COLUMBIFORMES_Columbidae_Otidiphaps_nobilis,Columbimorphae,COLUMBIFORMES,Columbidae,Otidiphaps,monotypic
Pampusana,COLUMBIFORMES_Columbidae_Pampusana_beccarii,Columbimorphae,COLUMBIFORMES,Columbidae,Pampusana,monotypic
Patagioenas,COLUMBIFORMES_Columbidae_Patagioenas_fasciata,Columbimorphae,COLUMBIFORMES,Columbidae,Patagioenas,monotypic
Streptopelia,COLUMBIFORMES_Columbidae_Streptopelia_turtur,Columbimorphae,COLUMBIFORMES,Columbidae,Streptopelia,monotypic
Treron,COLUMBIFORMES_Columbidae_Treron_vernans,Columbimorphae,COLUMBIFORMES,Columbidae,Treron,monotypic
Actenoides1,CORACIIFORMES_Alcedinidae_Actenoides_lindsayi,Afroaves,CORACIIFORMES,Alcedinidae,Actenoides,non-mono
Actenoides2,CORACIIFORMES_Alcedinidae_Actenoides_monachus,Afroaves,CORACIIFORMES,Alcedinidae,Actenoides,non-mono
Alcedo,CORACIIFORMES_Alcedinidae_Alcedo_atthis,Afroaves,CORACIIFORMES,Alcedinidae,Alcedo,mono
Caridonax,CORACIIFORMES_Alcedinidae_Caridonax_fulgidus,Afroaves,CORACIIFORMES,Alcedinidae,Caridonax,monotypic
Ceryle,CORACIIFORMES_Alcedinidae_Ceryle_rudis,Afroaves,CORACIIFORMES,Alcedinidae,Ceryle,monotypic
