Tree,clade,number,dataset
1_C12_MP_supertree,Genus,38,C12_MP_supertree
2_C14_MP_supertree,Genus,38,C14_MP_supertree
3_C18_MP_supertree,Genus,39,C18_MP_supertree
4_D9_MP_supertree,Genus,39,D9_MP_supertree
5_D8_MP_supertree,Genus,39,D8_MP_supertree
6_full_raxml,Genus,38,full_raxml
7_fulldata_parsD,Genus,38,fulldata_parsD
8_02_G50_i0s50l50_parsB,Genus,39,02_G50_i0s50l50_parsB
9_01_F70_i0s50l70_parsCstart,Genus,39,01_F70_i0s50l70_parsCstart
10_S19_MP_supertree,Genus,35,S19_MP_supertree
11_S9_MP_supertree,Genus,38,S9_MP_supertree
12_S16_MP_supertree,Genus,36,S16_MP_supertree
13_S11_MP_supertree,Genus,38,S11_MP_supertree
14_S13_MP_supertree,Genus,39,S13_MP_supertree
15_12_F70_i50s90l70_parsDstart,Genus,43,12_F70_i50s90l70_parsDstart
16_17_F50_i25s90l50_parsC,Genus,40,17_F50_i25s90l50_parsC
17_11_F90_i50s90l90_parsC,Genus,42,11_F90_i50s90l90_parsC
1_C12_MP_supertree,family,2,C12_MP_supertree
10_S19_MP_supertree,family,2,S19_MP_supertree
11_S9_MP_supertree,family,4,S9_MP_supertree
12_S16_MP_supertree,family,2,S16_MP_supertree
13_S11_MP_supertree,family,1,S11_MP_supertree
14_S13_MP_supertree,family,2,S13_MP_supertree
15_12_F70_i50s90l70_parsDstart,family,0,12_F70_i50s90l70_parsDstart
16_17_F50_i25s90l50_parsC,family,2,17_F50_i25s90l50_parsC
17_11_F90_i50s90l90_parsC,family,2,11_F90_i50s90l90_parsC
2_C14_MP_supertree,family,2,C14_MP_supertree
3_C18_MP_supertree,family,2,C18_MP_supertree
4_D9_MP_supertree,family,2,D9_MP_supertree
5_D8_MP_supertree,family,2,D8_MP_supertree
6_full_raxml,family,2,full_raxml
7_fulldata_parsD,family,2,fulldata_parsD
8_02_G50_i0s50l50_parsB,family,2,02_G50_i0s50l50_parsB
9_01_F70_i0s50l70_parsCstart,family,2,01_F70_i0s50l70_parsCstart
1_C12_MP_supertree,order,0,C12_MP_supertree
10_S19_MP_supertree,order,0,S19_MP_supertree
11_S9_MP_supertree,order,0,S9_MP_supertree
12_S16_MP_supertree,order,0,S16_MP_supertree
13_S11_MP_supertree,order,0,S11_MP_supertree
14_S13_MP_supertree,order,0,S13_MP_supertree
15_12_F70_i50s90l70_parsDstart,order,0,12_F70_i50s90l70_parsDstart
16_17_F50_i25s90l50_parsC,order,0,17_F50_i25s90l50_parsC
17_11_F90_i50s90l90_parsC,order,0,11_F90_i50s90l90_parsC
2_C14_MP_supertree,order,0,C14_MP_supertree
3_C18_MP_supertree,order,0,C18_MP_supertree
4_D9_MP_supertree,order,0,D9_MP_supertree
5_D8_MP_supertree,order,0,D8_MP_supertree
6_full_raxml,order,0,full_raxml
7_fulldata_parsD,order,0,fulldata_parsD
8_02_G50_i0s50l50_parsB,order,0,02_G50_i0s50l50_parsB
9_01_F70_i0s50l70_parsCstart,order,0,01_F70_i0s50l70_parsCstart
1_C12_MP_supertree,Highlevel,1,C12_MP_supertree
10_S19_MP_supertree,Highlevel,0,S19_MP_supertree
11_S9_MP_supertree,Highlevel,0,S9_MP_supertree
12_S16_MP_supertree,Highlevel,0,S16_MP_supertree
13_S11_MP_supertree,Highlevel,0,S11_MP_supertree
14_S13_MP_supertree,Highlevel,0,S13_MP_supertree
15_12_F70_i50s90l70_parsDstart,Highlevel,4,12_F70_i50s90l70_parsDstart
16_17_F50_i25s90l50_parsC,Highlevel,3,17_F50_i25s90l50_parsC
17_11_F90_i50s90l90_parsC,Highlevel,4,11_F90_i50s90l90_parsC
2_C14_MP_supertree,Highlevel,1,C14_MP_supertree
3_C18_MP_supertree,Highlevel,1,C18_MP_supertree
4_D9_MP_supertree,Highlevel,1,D9_MP_supertree
5_D8_MP_supertree,Highlevel,1,D8_MP_supertree
6_full_raxml,Highlevel,0,full_raxml
7_fulldata_parsD,Highlevel,0,fulldata_parsD
8_02_G50_i0s50l50_parsB,Highlevel,1,02_G50_i0s50l50_parsB
9_01_F70_i0s50l70_parsCstart,Highlevel,1,01_F70_i0s50l70_parsCstart
