taxon,palgalans,nonlb,water,raptor,cor1,alcedin,pici,par+,psit,psitac,sub1,furn1,furn2,furn3,thm1,thm2,sub2,sub3,tyr1,tyr2,tyr3,tyr4,osc1,osc2,osc3
OUTGROUP_Alligatoridae_alligator mississippiensis,1,1,1,,,,,,,,,,,,,,,,,,,,,,
OUTGROUP_Gavialidae_gavialis gangeticus,1,1,1,,,,,,,,,,,,,,,,,,,,,,
DINORNITHIFORMES_Emeidae_Anomalopteryx didiformis,1,,,,,,,,,,,,,,,,,,,,,,,,
STRUTHIONIFORMES_Struthionidae_Struthio camelus,1,1,1,,,,,,,,,,,,,,,,,,,,,,
RHEIFORMES_Rheidae_pterocnemia pennata2,1,,,,,,,,,,,,,,,,,,,,,,,,
RHEIFORMES_Rheidae_rhea americana,1,1,,,,,,,,,,,,,,,,,,,,,,,
APTERYGIFORMES_Apterygidae_Apteryx owenii,1,1, ,,,,, ,,,,,,,,,,,,,,,,,
APTERYGIFORMES_Apterygidae_Apteryx haastii,1,,1,,,,,,,,,,,,,,,,,,,,,,
APTERYGIFORMES_Apterygidae_Apteryx rowi,1,,,,,,,,,,,,,,,,,,,,,,,,
APTERYGIFORMES_Apterygidae_Apteryx mantelli,1,,,,,,,,,,,,,,,,,,,,,,,,
APTERYGIFORMES_Apterygidae_apteryx australis,1,,,,,,,,,,,,,,,,,,,,,,,,
CASUARIIFORMES_Casuariidae_casuarius casuarius,1,1, ,,,,, ,,,,,,,,,,,,,,,,,
CASUARIIFORMES_Casuariidae_dromaius novaehollandiae,1,,1,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_Tinamus guttatus,1,1, ,,,,, ,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_Nothocercus julius,1,1,,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_nothocercus nigrocapillus,1,,,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_Crypturellus undulatus,1,,1,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_Crypturellus cinnamomeus,1,,,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_crypturellus soui,1,,,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_Nothoprocta ornata,1,,,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_Nothoprocta pentlandii,1,,,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_Nothoprocta perdicaria,1,,,,,,,,,,,,,,,,,,,,,,,,
TINAMIFORMES_Tinamidae_eudromia elegans,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anhimidae_chauna torquata,1,1,1, , ,,, ,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anseranatidae_anseranas semipalmata,1,1,1,,,,, ,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Branta canadensis,1,1, ,,,,, ,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Anser brachyrhynchus,1, ,1,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Anser cygnoides,1,, ,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Anser indicus,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_anser erythropus,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Cygnus atratus,1,1,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Cygnus cygnus,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Cygnus olor,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Stictonetta naevosa,1,1,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_malacorhynchus membranaceus,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Cairina moschata,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Nettapus auritus,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Anas platyrhynchos,1,1,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Anas zonorhyncha,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Aythya fuligula,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_Heteronetta atricapilla,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_oxyura jamaicensis,1,,,,,,,,,,,,,,,,,,,,,,,,
ANSERIFORMES_Anatidae_biziura lobata,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Megapodiidae_Alectura lathami,1,1, ,,,,, ,,,,,,,,,,,,,,,,,
GALLIFORMES_Megapodiidae_Leipoa ocellata,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Megapodiidae_Megapodius layardi,1,,1,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Megapodiidae_megapodius eremita,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Ortalis vetula,1,1, ,,,,, ,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Penelope pileata,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Pipile cumanensis,1,,1,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Pipile jacutinga,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Aburria aburri,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Chamaepetes goudotii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Penelopina nigra,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Oreophasis derbianus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Nothocrax urumutum,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Mitu salvini,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Pauxi pauxi,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Crax daubentoni,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Crax globulosa,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_Crax rubra,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Cracidae_crax alector,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Numididae_numida meleagris,1,1, ,,,,, ,,,,,,,,,,,,,,,,,
GALLIFORMES_Numididae_Guttera pucherani,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Numididae_Acryllium vulturinum,1,,1,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_ptilopachus petrosus,1,1, ,,,,, ,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_Oreortyx pictus,1, ,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_Callipepla californica,1,1, ,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_Callipepla squamata,1,, ,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_Colinus virginianus,1,,1,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_colinus cristatus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_Dactylortyx thoracicus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_Cyrtonyx montezumae,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Odontophoridae_Rhynchortyx cinctus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Meleagris gallopavo,1, , ,,,,, ,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Meleagris ocellata,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Bonasa umbellus,1,,1,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tetrastes bonasia,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Falcipennis canadensis,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Falcipennis falcipennis,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lyurus mlokosiewiczi,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tetrao urogalloides,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lyrurus tetrix,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Centrocercus urophasianus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Centrocercus minimus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Dendragapus fuliginosus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tympanuchus cupido,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tympanuchus phasianellus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lagopus muta,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lerwa lerwa,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tetraophasis obscurus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tetraogallus altaicus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tetraogallus himalayensis,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Alectoris rufa,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Alectoris chukar,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Ammoperdix heyi,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Francolinus francolinus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Scleroptila afra,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Pternistis afer,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Pternistis ahantensis,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Pternistis bicalcaratus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Pternistis swainsonii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Pternistis leucoscepus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Perdix dauurica,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Perdix perdix,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Margaroperdix madagarensis,1,,,,1,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Melanoperdix niger,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Coturnix coromandelica,1,,,1,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Coturnix delegorguei,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Coturnix japonica,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Coturnix pectoralis,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Coturnix ypsilophora,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Coturnix adansonii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Coturnix chinensis,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_coturnix coturnix,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Anurophasis monorthonyx,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Perdicula erythrorhyncha,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Arborophila torqueola,1, , ,,,,, ,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Arborophila rufogularis,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Caloperdix oculeus,1,,1,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Haematortyx sanguiniceps,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_rollulus rouloul,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Bambusicola thoracicus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Galloperdix spadicea,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tragopan blythii,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tragopan caboti,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tragopan satyra,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Tragopan temminckii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Pucrasia macrolopha,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lophophorus impejanus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Gallus gallus,1,1, , , ,,, ,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Gallus lafayettii,1,, ,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Gallus sonneratii,1,,, ,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Gallus varius,1,,,, ,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lophura diardi,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lophura edwardsi,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lophura ignita,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lophura inornata,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lophura leucomelanos,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lophura nycthemera,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Lophura swinhoii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Crossoptilon auritum,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Crossoptilon crossoptilon,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Catreus wallichii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus ellioti,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus humiae,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus mikado,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus reevesii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus soemmerringii,1,,,,,,,,,,,,,,,,,,,,,,,,
